image_id,filename,role,evidence_lane,participant_code,setup_id,width,height,sha256,source_type,source_dataset,source_version,source_doi,source_page,source_file,source_locator,source_frame_sha256,source_integrity_reference,source_behavior_hint,transform,teaching_stressor,distribution_status,privacy_review,facial_keypoints_scored,face_evidence,full_body_evidence,license_basis,license_url
D04-C01,d04-01-calibration-full-coco17-frontal.jpg,guided,calibration-full-coco17,HSRD-0023,hsrd-scan-0023,1120,2060,39c076e57befc34647c0bd7d6a1420711f9895f4e9c89a2e12841c74f3953ab9,public-consented-scan-derived,HSRD-100: 100 High-Quality 3D Human Scans Dataset,2025 dataset revision,,https://huggingface.co/datasets/digitalrealitylab/HSRD-100,HSR0023-Body-017-Cover.jpg,huggingface-revision:fe753f2eb34ec0194511eecebbcbffa2fddb67e1/HSR0023-Body-017-Cover.jpg,9e27ddb4840b16a3aa173f753c34571351316e71d3ab7c59f64e21daae47a7f1,lfs-sha256:9e27ddb4840b16a3aa173f753c34571351316e71d3ab7c59f64e21daae47a7f1,consented scan-render calibration; no identity or behaviour ground truth,baseline,clear frontal full body; all 17 COCO landmarks have coordinate evidence,classroom-noncommercial,consented-scan-render-identifiers-removed-not-anonymous,yes,visible-scorable,visible-scorable,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
D04-C02,d04-02-calibration-raised-arm-coco17.jpg,guided,calibration-full-coco17,HSRD-0015,hsrd-scan-0015,1000,2100,24f81c0ad01143d42118237070c1265cc16e19f9ff29e3333b0391cb20e1966d,public-consented-scan-derived,HSRD-100: 100 High-Quality 3D Human Scans Dataset,2025 dataset revision,,https://huggingface.co/datasets/digitalrealitylab/HSRD-100,HSR0015-Body-070-Cover.jpg,huggingface-revision:fe753f2eb34ec0194511eecebbcbffa2fddb67e1/HSR0015-Body-070-Cover.jpg,c5c8acdc6d031f36e47cf3ddc0399bdd32819f93fbe1013c67a05f98a3bee756,lfs-sha256:c5c8acdc6d031f36e47cf3ddc0399bdd32819f93fbe1013c67a05f98a3bee756,consented scan-render calibration; no identity or behaviour ground truth,baseline,"full-body raised-arm pose for topology, laterality and self-occlusion calibration",classroom-noncommercial,consented-scan-render-identifiers-removed-not-anonymous,yes,visible-scorable,visible-scorable,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
D04-M03,d04-03-cabin-real-vehicle-baseline.jpg,independent,cabin-visibility-quality,MRB-ce8291e3,mrb-recording-ce8291e3,1200,1000,d779296a708c9dd9c99bbbbcc400383540b366650fd803f03e538c6d0c24a647,public-real-derived,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,Images_Labels/ce8291e3-2691-44cd-ac9f-e0558d819eba_10.jpg,archive-member:Images_Labels/ce8291e3-2691-44cd-ac9f-e0558d819eba_10.jpg,090ffbab7a89efa94ff74ad151b381d514c9c583f9820ca96f84e3ed851ffb44,archive-sha256:87c1713ee9b036db542ebeb7cd5cf7618cc5b41e4e9286ec2741efd7985539bf,source-class-0-neutral; provenance-only,baseline,real-vehicle nominal upper-body pose; facial nodes intentionally unavailable,classroom-noncommercial,local-opaque-mask-not-anonymous,no,privacy-mask-v0,lower-body-outside-frame,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
D04-M04,d04-04-cabin-real-vehicle-object-interaction.jpg,independent,cabin-visibility-quality,MRB-d37c44c3,mrb-recording-d37c44c3,1100,1000,ed0ac3dfb587298af499714f5a91bc456ae3e9b9f60d82cbc7402d69815211e3,public-real-derived,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,Images_Labels/d37c44c3-53f6-4f22-b4db-0ceb0c55d1a8_12.jpg,archive-member:Images_Labels/d37c44c3-53f6-4f22-b4db-0ceb0c55d1a8_12.jpg,ddf8ac1cba2ca4a8a8cdb4045fcd7d1cf723093416ef7c91bb4b0e834de19e54,archive-sha256:87c1713ee9b036db542ebeb7cd5cf7618cc5b41e4e9286ec2741efd7985539bf,source-classes-3-and-2; provenance-only,baseline,object interaction and relaxed arm pose; do not infer driver state,classroom-noncommercial,local-opaque-mask-not-anonymous,no,privacy-mask-v0,lower-body-outside-frame,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
D04-M05,d04-05-cabin-real-vehicle-cool-cast.jpg,independent,cabin-visibility-quality,MRB-d9d40c4d,mrb-recording-d9d40c4d,1300,1000,ac0763a04415e6802ad77e0a811bf94fae2d114206a27e802f7be91f452b5aaa,public-real-derived,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,Images_Labels/d9d40c4d-9689-4683-a284-7fc28afa342a_15.jpg,archive-member:Images_Labels/d9d40c4d-9689-4683-a284-7fc28afa342a_15.jpg,0cb72092daafa63ef9a823edc9e53180d09326decdd5f54daeca4e85ccd32279,archive-sha256:87c1713ee9b036db542ebeb7cd5cf7618cc5b41e4e9286ec2741efd7985539bf,source-class-2-distraction; provenance-only,baseline,natural cool colour cast and oblique body geometry,classroom-noncommercial,local-opaque-mask-not-anonymous,no,privacy-mask-v0,lower-body-outside-frame,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
D04-M06,d04-06-cabin-real-vehicle-forward-lean.jpg,independent,cabin-visibility-quality,MRB-f78505a2,mrb-recording-f78505a2,1300,1000,cdc46779c624736d2f6018517ccd56e861194375b98ff58b0a247c0ccd508628,public-real-derived,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,Images_Labels/f78505a2-5c98-4a51-a449-b632ff620b0a_107.jpg,archive-member:Images_Labels/f78505a2-5c98-4a51-a449-b632ff620b0a_107.jpg,3079af7c24e07309cc9817d3df1f1f238485b9f13a60a0350977399ffc579511,archive-sha256:87c1713ee9b036db542ebeb7cd5cf7618cc5b41e4e9286ec2741efd7985539bf,source-class-1-microsleep; provenance-only,baseline,"forward lean, head-arm proximity and self-occlusion; no drowsiness claim",classroom-noncommercial,local-opaque-mask-not-anonymous,no,privacy-mask-v0,lower-body-outside-frame,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
D04-M07,d04-07-cabin-real-vehicle-handheld-object.jpg,independent,cabin-visibility-quality,MRB-fcb311b4,mrb-recording-fcb311b4,1150,1000,e752e1df1e4d989afb5ed544ff3e5c61daae6b7021bd8590c076c4351d788e67,public-real-derived,Driver Risk Behavior Dataset for Embedded Vision Applications,1,10.17632/562zj8n7xf.1,https://data.mendeley.com/datasets/562zj8n7xf/1,Images_Labels/fcb311b4-a8ec-4cfa-98f0-5b89d7426ba9_26.jpg,archive-member:Images_Labels/fcb311b4-a8ec-4cfa-98f0-5b89d7426ba9_26.jpg,19b36fa67008664b7ebdc369db47ad8151ecc0c22b9d93cdd3929ba121ccc261,archive-sha256:87c1713ee9b036db542ebeb7cd5cf7618cc5b41e4e9286ec2741efd7985539bf,source-class-3-cellphone-use; provenance-only,baseline,"handheld object, wrist overlap and torso rotation; no behaviour label",classroom-noncommercial,local-opaque-mask-not-anonymous,no,privacy-mask-v0,lower-body-outside-frame,CC BY 4.0,https://creativecommons.org/licenses/by/4.0/
D04-H08,d04-08-cabin-simulator-low-light.jpg,independent,cabin-visibility-quality,HAD-53,hadrian-simulator-camera,640,480,1fc5af876fd6ecb39f36efb7723b93b52d04f718150e607cc3dc1e488677ee68,public-real-derived,RGB and Depth videos directory,1,10.25452/figshare.plus.22277668.v1,https://plus.figshare.com/articles/dataset/RGB_and_Depth_videos_directory/22277668,ID_53_ColorCameraVideoMask.mp4,figshare-file:39620053@6000s,2a79d720bb829c688fcdedd4a1a3398fb045322a9cf6b9f4edbd78de98ca1dc3,published-md5:365a20746e595be661faf1e534d1a5ca;size:3260737078,continuous simulator recording; no state label imported,low-light,deterministic low illumination and one-hand gesture,classroom-noncommercial,source-mask-preserved-not-anonymous,no,source-mask-v0,lower-body-outside-frame,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
D04-H09,d04-09-cabin-simulator-glare.jpg,independent,cabin-visibility-quality,HAD-62,hadrian-simulator-camera,640,480,8c08b9fdc489b774b4af13d10e3ed737ba5fee8cf2ca586de2c9ff535fd72b2d,public-real-derived,RGB and Depth videos directory,1,10.25452/figshare.plus.22277668.v1,https://plus.figshare.com/articles/dataset/RGB_and_Depth_videos_directory/22277668,ID_62_ColorCameraVideoMask.mp4,figshare-file:39619939@6000s,4f40505da3012d66aa53df8a8303b7b3b5b83ff4007de4a00382b4b0b28c2aed,published-md5:611ad787e805a8a646d68af1c80cb0ff;size:2464498494,continuous simulator recording; no state label imported,glare,deterministic lateral glare and open-hand pose,classroom-noncommercial,source-mask-preserved-not-anonymous,no,source-mask-v0,lower-body-outside-frame,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
D04-H10,d04-10-cabin-simulator-obstruction.jpg,independent,cabin-visibility-quality,HAD-83,hadrian-simulator-camera,640,480,c27ee64c727051cc967a0d2d9368ad9102eaac681b3c4bfa60ce4fdee7f8ca30,public-real-derived,RGB and Depth videos directory,1,10.25452/figshare.plus.22277668.v1,https://plus.figshare.com/articles/dataset/RGB_and_Depth_videos_directory/22277668,ID_83_ColorCameraVideoMask.mp4,figshare-file:39620284@6000s,5e540cfe97bdbae551435d8cac237f270bb70a521b4857bc881a4e23aff32558,published-md5:24689b382b9df21246930252d30e7bd4;size:1833744105,continuous simulator recording; no state label imported,partial-obstruction,deterministic lens obstruction and crossed-arm geometry,classroom-noncommercial,source-mask-preserved-not-anonymous,no,source-mask-v0,lower-body-outside-frame,CC BY-NC 4.0,https://creativecommons.org/licenses/by-nc/4.0/
